sophTimes,seniorTimes
10:11.80,9:55.65
10:33.78,9:55.66
10:17.11,9:55.71
10:56.59,9:55.75
10:14.01,9:55.81
11:08.08,9:55.81
10:30.04,9:55.86
10:44.88,9:55.87
11:12.50,9:55.91
10:39.02,9:55.92
9:51.17,9:55.98
9:59.42,9:56.01
10:25.14,9:56.05
11:28.24,9:56.06
10:13.04,9:56.07
9:58.78,9:56.14
10:53.94,9:56.15
10:25.9,9:56.16
10:54.07,9:56.17
10:59.81,9:56.20
10:47.04,9:56.20
11:01.97,9:56.21
9:40.26,9:56.23
10:14.17,9:56.23
10:40.0,9:56.28
11:00.09,9:56.30
10:12.10,9:56.32
11:19.2,9:56.33
10:22.23,9:56.37
9:54.80,9:56.40
11:13.72,9:56.40
10:57.91,9:56.43
10:49.26,9:56.46
10:22.4,9:56.46
10:53.70,9:56.47
10:54.96,9:56.49
10:23.83,9:56.50
10:34.51,9:56.53
10:39.98,9:56.53
10:21.79,9:56.53
10:30.00,9:56.61
10:18.84,9:56.64
11:25.82,9:56.65
10:15.65,9:56.65
10:47.1,9:56.71
10:00.28,9:56.73
9:51.54,9:56.73
10:18.97,9:56.75
10:50.14,9:56.76
10:29.15,9:56.77
10:43.84,9:56.78
9:58.20,9:56.80
10:08.53,9:56.81
10:31.68,9:56.82
10:08.00,9:56.82
10:40.71,9:56.84
10:49.75,9:56.85
10:26.02,9:56.86
10:34.35,9:56.87
11:13.21,9:56.92
10:21.07,9:56.92
10:49.03,9:57.01
9:59.54,9:57.02
9:46.25,9:57.08
11:05.67,9:57.09
9:55.00,9:57.10
9:56.15,9:57.12
10:01.90,9:57.14
9:48.78,9:57.14
9:39.88,9:57.15
10:09.62,9:57.17
10:02.05,9:57.24
9:58.71,9:57.25
10:17.42,9:57.31
10:15.46,9:57.35
11:13.19,9:57.37
9:58.70,9:57.40
10:33.97,9:57.40
11:04.55,9:57.48
10:03.49,9:57.51
10:43.80,9:57.53
11:01.62,9:57.53
10:12.09,9:57.54
10:15.53,9:57.54
10:07.10,9:57.56
11:22.6,9:57.59
11:07.47,9:57.60
10:37.09,9:57.62
10:07.14,9:57.63
10:39.18,9:54.3
10:08.23,9:57.67
10:03.06,9:57.68
10:02.7,9:57.71
10:54.32,9:57.71
9:57.31,9:57.72
10:58.76,9:57.74
10:08.99,9:57.75
10:07.35,9:57.77
10:26.99,9:57.82
10:03.71,9:57.83
10:34.70,9:39.98
10:39.15,9:57.84
10:54.85,9:57.87
9:51.19,9:57.90
9:56.14,9:57.91
10:16.80,9:57.95
10:39.54,9:58.04
10:19.28,9:58.05
9:53.80,9:58.07
10:58.27,9:58.07
9:52.08,9:58.08
12:04.0,9:58.09
10:26.79,9:58.11
10:41.17,9:58.18
10:08.50,9:58.18
11:02.94,9:58.31
10:20.83,9:58.32
10:37.58,9:58.34
10:35.74,9:58.34
10:21.36,9:58.34
11:28.10,9:58.36
10:16.40,9:58.36
10:42.65,9:58.43
10:30.85,9:58.45
10:13.26,9:58.47
10:30.47,9:58.48
10:20.75,9:58.48
10:38.59,9:58.51
9:55.03,9:58.53
11:27.56,9:58.54
10:14.59,9:58.57
10:57.42,9:58.63
10:23.45,9:58.64
11:08.65,9:58.64
10:24.60,9:58.69
10:29.38,9:58.73
10:45.56,9:58.74
10:42.65,9:55.10
10:17.81,9:58.81
10:48.59,9:58.81
10:26.27,9:58.82
9:47.29,9:58.83
10:35.13,9:58.86
11:00.53,9:58.87
10:42.11,9:58.88
10:24.76,9:58.88
10:31.34,9:58.89
10:19.11,9:58.91
11:05.95,9:58.91
11:03.49,9:58.91
10:37.13,9:59.00
10:00.04,9:59.01
10:14.78,9:59.03
11:00.87,9:59.04
10:35.62,9:59.05
10:39.59,9:59.05
11:19.64,9:59.06
10:34.49,9:59.07
11:11.71,9:59.15
10:03.13,9:59.16
10:45.20,9:59.21
9:54.39,9:59.21
10:27.50,9:59.22
10:44.08,9:59.23
10:05.94,9:59.29
11:34.24,9:59.31
10:56.53,9:59.32
10:29.41,9:59.33
10:21.77,9:59.33
10:17.97,9:59.34
10:10.30,9:59.36
9:55.49,9:59.38
10:36.49,9:59.41
11:02.28,9:59.46
10:37.05,9:59.47
10:15.15,9:59.50
10:24.71,9:59.51
11:07.79,9:59.51
9:56.16,9:59.52
10:28.31,9:59.53
10:12.59,9:59.56
10:24.12,9:59.56
10:57.9,9:59.57
10:48.12,9:59.60
10:12.85,9:59.61
10:18.80,9:59.63
10:10.12,9:59.64
10:18.55,9:59.64
9:59.01,9:59.65
10:32.12,9:59.66
10:01.04,9:59.72
10:59.90,9:59.72
10:37.31,9:59.75
10:33.23,9:59.76
10:35.23,9:59.78
9:57.74,9:59.78
10:46.09,9:59.79
12:16.48,9:59.87
10:18.89,9:59.96
10:59.75,9:59.99
10:36.94,10:00.01
10:53.79,10:00.03
10:03.86,10:00.06
10:23.81,10:00.07
10:04.02,10:00.07
11:19.9,10:00.08
10:59.99,10:00.10
10:24.61,10:00.11
10:37.85,10:00.18
9:48.12,10:00.21
10:41.46,10:00.21
10:09.37,10:00.21
10:40.33,10:00.28
10:17.53,10:00.32
10:28.69,10:00.34
10:23.38,10:00.37
10:04.19,10:00.44
10:52.11,10:00.49
10:07.74,10:00.53
10:12.16,10:00.54
10:40.82,10:00.62
10:53.70,10:00.64
10:04.55,10:00.65
10:26.55,10:00.66
10:30.76,9:51.13
10:55.90,10:00.67
10:58.0,10:00.68
10:27.44,10:00.73
11:54.23,10:00.76
10:41.06,10:00.78
11:12.31,10:00.92
11:09.55,10:00.94
